,Correct Predictions,Incorrect Predictions
age,38.03651437643323,43.415971394517285
fnlwgt,191544.16934203563,183792.0905840286
education-num,9.957488093138119,10.814064362336115
capital-gain,1277.3046392661845,164.1632896305125
capital-loss,93.51384723937203,61.096543504171635
hours-per-week,39.83789028047275,44.94517282479142
capital_total,1370.8184865055566,225.25983313468416
work_hours_age_ratio,1.1699406505200307,1.1054338870764935
